label,repo_file,title,visual_group,intended_pages_or_section,creator_or_institution,rights_license_status,sequence
A01,images/labeled/a01-mediation-a-photograph-of-an-attractive-woman-with-a-white-lace-blindfold-roses-on.jpg,"A photograph of an attractive woman with a white lace blindfold, roses on her headband, long blonde hair, soft features",Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Creator not verified,"Local/generated/unknown source; verify creator, source, and usage rights before final export.",01
A02,images/labeled/a02-social-constraint-abstract-female-portrait-hidden-vision-pink-and-black.jpg,"Abstract Female Portrait Hidden Vision, Pink and Black",Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Creator not verified,"Local/generated/unknown source; verify creator, source, and usage rights before final export.",02
A03,images/labeled/a03-social-constraint-abstract-monochrome-portrait-of-a-woman-a-study-in-light-and-shadow.jpg,Abstract Monochrome Portrait of a Woman A Study in Light and Shadow,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Creator not verified,"Local/generated/unknown source; verify creator, source, and usage rights before final export.",03
A04,images/labeled/a04-social-constraint-adobestock-1021442471.jpg,AdobeStock_1021442471,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,04
A05,images/labeled/a05-social-constraint-adobestock-1024472839.jpg,AdobeStock_1024472839,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,05
A06,images/labeled/a06-social-constraint-adobestock-1040196803.jpg,AdobeStock_1040196803,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,06
A07,images/labeled/a07-social-constraint-adobestock-1044937382.jpg,AdobeStock_1044937382,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,07
A08,images/labeled/a08-social-constraint-adobestock-1225023891.jpg,AdobeStock_1225023891,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,08
A09,images/labeled/a09-social-constraint-adobestock-140076283.jpg,AdobeStock_140076283,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,09
A10,images/labeled/a10-social-constraint-adobestock-1462135790.jpg,AdobeStock_1462135790,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,10
A11,images/labeled/a11-social-constraint-adobestock-206067082.jpg,AdobeStock_206067082,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,11
A12,images/labeled/a12-social-constraint-adobestock-268225510.jpg,AdobeStock_268225510,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,12
A13,images/labeled/a13-social-constraint-adobestock-320500758.jpg,AdobeStock_320500758,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,13
A14,images/labeled/a14-social-constraint-adobestock-368079012.jpg,AdobeStock_368079012,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,14
A15,images/labeled/a15-social-constraint-adobestock-378198491.jpg,AdobeStock_378198491,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,15
A16,images/labeled/a16-social-constraint-adobestock-565582008.jpg,AdobeStock_565582008,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,16
A17,images/labeled/a17-social-constraint-adobestock-720156971.jpg,AdobeStock_720156971,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,17
A18,images/labeled/a18-social-constraint-adobestock-730927617.jpg,AdobeStock_730927617,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,18
A19,images/labeled/a19-social-constraint-adobestock-973721353.jpg,AdobeStock_973721353,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Adobe Stock contributor not verified,Adobe Stock filename present; verify local license before final export.,19
A20,images/labeled/a20-mediation-alex-bracken-l1sjo7tmvec-unsplash.jpg,alex-bracken-l1SJO7TMVEc-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Alex Bracken L1Sjo7Tmvec / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,20
A21,images/labeled/a21-raw-agency-alexander-krivitskiy-az7rqwlwkhi-unsplash.jpg,alexander-krivitskiy-az7rqWLWkhI-unsplash,Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Alexander Krivitskiy Az7Rqwlwkhi / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,21
A22,images/labeled/a22-social-constraint-alexander-krivitskiy-gfopukdkmvo-unsplash.jpg,alexander-krivitskiy-GfOpUKdkMvo-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Alexander Krivitskiy Gfopukdkmvo / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,22
A23,images/labeled/a23-mediation-allef-vinicius-dkrntf-jgtw-unsplash.jpg,allef-vinicius-DKrNTF_Jgtw-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Allef Vinicius Dkrntf_Jgtw / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,23
A24,images/labeled/a24-raw-agency-amir-geshani-2jh8d3chnec-unsplash.jpg,amir-geshani-2JH8d3ChNec-unsplash,Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Amir Geshani 2Jh8D3Chnec / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,24
A25,images/labeled/a25-social-constraint-andrey-zvyagintsev-t8iknlqojcq-unsplash.jpg,andrey-zvyagintsev-T8IkNlQojCQ-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Andrey Zvyagintsev T8Iknlqojcq / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,25
A26,images/labeled/a26-mediation-arielle-allouche-h82rqe4gria-unsplash.jpg,arielle-allouche-H82Rqe4griA-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Arielle Allouche H82Rqe4Gria / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,26
A27,images/labeled/a27-raw-agency-baran-lotfollahi-lobgof8rurg-unsplash.jpg,baran-lotfollahi-LOBgOf8Rurg-unsplash,Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Baran Lotfollahi Lobgof8Rurg / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,27
A28,images/labeled/a28-social-constraint-birmingham-museums-trust-oqpbewogd0o-unsplash.jpg,birmingham-museums-trust-oQpbeWoGD0o-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Birmingham Museums Trust Oqpbewogd0O / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,28
A29,images/labeled/a29-mediation-boston-public-library-grbfmxpumu4-unsplash.jpg,boston-public-library-gRbFMxpUMU4-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Boston Public Library Grbfmxpumu4 / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,29
A30,images/labeled/a30-raw-agency-brunxs-monochrome-spniqdcpi9u-unsplash.jpg,brunxs-monochrome-sPnIqdCPI9U-unsplash,Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Brunxs Monochrome Spniqdcpi9U / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,30
A31,images/labeled/a31-social-constraint-caleb-kastein-lmnz6-icim8-unsplash.jpg,caleb-kastein-lmNz6-ICIM8-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Caleb Kastein Lmnz6 Icim8 / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,31
A32,images/labeled/a32-mediation-camila-quintero-franco-mc852jack1g-unsplash.jpg,camila-quintero-franco-mC852jACK1g-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Camila Quintero Franco Mc852Jack1G / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,32
A33,images/labeled/a33-raw-agency-carl-cheng-o4l-vetcxhy-unsplash.jpg,carl-cheng-o4L-veTcXHY-unsplash,Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Carl Cheng O4L Vetcxhy / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,33
A34,images/labeled/a34-social-constraint-cole-keister-d6zqt8nfiq4-unsplash.jpg,cole-keister-D6zQt8NfIq4-unsplash,Group 2: Social Constraint,"Pages 17-26 / Article II, The Constraint",Cole Keister D6Zqt8Nfiq4 / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,34
A35,images/labeled/a35-mediation-darius-bashar-3xegkkbinck-unsplash.jpg,darius-bashar-3XEgKKBinCk-unsplash,Group 3: Mediation,"Pages 27-38 / Article III, The Veil",Darius Bashar 3Xegkkbinck / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,35
A36,images/labeled/a36-raw-agency-drew-dizzy-graham-ctkgzjtmjqu-unsplash.jpg,drew-dizzy-graham-cTKGZJTMJQU-unsplash,Group 1: Raw Agency,"Pages 8-16 / Article I, The Body",Drew Dizzy Graham Ctkgzjtmjqu / Unsplash filename,Unsplash filename present; verify source URL and license before final export.,36
