Shot,Start,End,Duration_s,Section,Visual / Shot,Source / Asset,Motion,On-screen text,Caption (script),Audio,Notes
1,0:00,0:08,8,Intro,Talking head in editorial ivory frame (portrait panel + type column),Talking head (full-script re-gen),Slow 2% push-in,"Lower third: Brooke Howard / Graphic & Web Design Student / Everett Community College","Hello, my name is Brooke Howard, and I am a Graphic & Web Design student at Everett Community College.",VO + music fades in,Hold ~1.5s before lower third animates in
2,0:08,0:11,3,Life experience,B-roll: open sketchbook + pencil + sketching hands,B-roll (see assets_needed),Slow pan L→R,KICKER: LIFE EXPERIENCE,"As a returning student, I bring both life experience",Music bed under VO,Warm window light; shallow depth
3,0:11,0:15,4,Life experience,B-roll: laptop + coffee at a warm creative desk,B-roll,Static / tiny drift,CHIP: Life Experience,"and a fresh perspective to my education.",VO,Chip charcoal@72% ivory text
4,0:15,0:20,5,Design + technology,B-roll: web mockup / Figma or Adobe UI on screen,B-roll / screen capture,Screen scroll,CHIP: Design + Technology,"My goal is to build a career where I can use design, technology,",VO,Show real UI; keep it tasteful
5,0:20,0:25,5,Design + technology,B-roll: type specimen + magazine spread + portfolio pages,B-roll,Slow tilt up,(none — let work breathe),"and creativity to solve problems and create meaningful experiences for others.",VO,Optional dusty-rose underline on 'creativity'
6,0:25,0:31,6,Career experience,B-roll: friendly customer-service / counter handoff,B-roll,Static,KICKER: CAREER EXPERIENCE,"Throughout my career, I have worked in customer service, production design,",VO,People warm + candid; avoid stocky smiles
7,0:31,0:37,6,Career experience,B-roll: production-design desk + print proofs + small team at table,B-roll,Slow push-in,CHIP: Communication,"and team-focused roles that taught me adaptability, communication, and the importance of showing up and doing quality work.",VO,Hands-on / collaborative feel
8,0:37,0:41,4,Problem solving & pressure,B-roll: wireframe sketches + sticky notes + layout grid,B-roll,Match-cut between frames,(none),"Those experiences have helped me become a creative problem solver",VO,Process over polish
9,0:41,0:45,4,Problem solving & pressure,B-roll: focused editing / revising a layout on screen,B-roll / screen,Static,CHIP: Creative Problem Solving,"who works well with others and stays focused under pressure.",VO,Calm focus; no frantic energy
10,0:45,0:51,6,Work ethic,Return to talking head (editorial frame),Talking head,Static,CHIP: Work Ethic,"What I would bring to an organization is a strong work ethic,",VO swells slightly,Re-ground on her face for sincerity
11,0:51,0:56,5,Work ethic,Talking head continues,Talking head,Tiny push-in,CHIP: Willingness to Learn,"a willingness to learn, and the ability to approach challenges with both creativity and practicality.",VO,Swap chip; don't stack
12,0:56,1:01,5,Closing offer,Portfolio montage: 3–4 portfolio pieces with slow pans,Portfolio stills/screens,Slow pans / cross-dissolve,(minimal — small kicker 'SELECTED WORK' optional),"I would love the opportunity to learn more about your organization",VO,Show her actual best work here
13,1:01,1:06,5,Closing offer,Portfolio montage continues then brief cut to talking head,Portfolio + talking head,Cross-dissolve,(none),"and hear any advice you might have for someone entering the design field.",VO,Land back on her for the thank-you
14,1:06,1:08,2,End card,Charcoal end card,Generated card,Fade up,"Thank you for your time.  /  Brooke Howard · Graphic & Web Design","Thank you for your time.",Music resolves + fades,Add email/portfolio URL line if desired
