page_number,text_content,asset_index,category,@image,x0,y0,x1,y1,width,height,source
0,"THE ANATOMY OF LOOKING THE VISCERAL THEORY OF SIGHT the body, the gaze, and the veil 01",0.0,Full-Page/Large Illustration,assets/page_0_img_0_xref_12.png,115.0,0.0,695.0,630.0,580.0,576.0,AdobeStock_140076283.jpeg
1,THE ANATOMY OF LOOKING 02,0.0,Full-Page/Large Illustration,assets/page_1_img_0_xref_15.png,115.0,0.0,695.0,947.368408203125,580.0,386.0,AdobeStock_193035243.jpeg
2,"TITLE THE VISCERAL THEORY OF SIGHT A visual psychology issue on gaze, image memory, and the veil. This issue uses local image files supplied for production. Adobe Stock and Unsplash assets require license and source verification before public release; locally generated or unknown files require creator and usage confirmation. Citations are real and listed in Works Consulted; exact editions, page ranges, and licenses are confirmed before final print. 03",,Text-Only,,,,,,,,
3,CONTENTS Agency / Constraint / Mediation Front Matter 01 Introduction: The Visceral Theory of Sight 05 I. Agency 08 II. Constraint 17 III. Mediation 27 IV. Synthesis 39 Back Matter 46 04,,Text-Only,,,,,,,,
4,"INTRODUCTION The Visceral Theory of Sight Sight is never only an act of seeing. It is a negotiation between the body that appears, the culture that disciplines appearance, and the surface that decides what the eye is allowed to touch. This issue moves through agency, constraint, and mediation as one continuous pressure system: the anatomy of looking, traced from the body outward to the veil. A01 / MEDIATION Beauty becomes the blindfold’s alibi. 05",0.0,Standard Figure,assets/page_4_img_0_xref_22.png,115.0,574.4,695.0,790.4,580.0,403.0,AdobeStock_206067082.jpeg
4,"INTRODUCTION The Visceral Theory of Sight Sight is never only an act of seeing. It is a negotiation between the body that appears, the culture that disciplines appearance, and the surface that decides what the eye is allowed to touch. This issue moves through agency, constraint, and mediation as one continuous pressure system: the anatomy of looking, traced from the body outward to the veil. A01 / MEDIATION Beauty becomes the blindfold’s alibi. 05",1.0,Standard Figure,assets/page_4_img_1_xref_15.png,115.0,54.4,695.0,304.4,580.0,386.0,AdobeStock_260081650.jpeg
4,"INTRODUCTION The Visceral Theory of Sight Sight is never only an act of seeing. It is a negotiation between the body that appears, the culture that disciplines appearance, and the surface that decides what the eye is allowed to touch. This issue moves through agency, constraint, and mediation as one continuous pressure system: the anatomy of looking, traced from the body outward to the veil. A01 / MEDIATION Beauty becomes the blindfold’s alibi. 05",2.0,Standard Figure,assets/page_4_img_2_xref_23.png,115.0,314.4,695.0,564.4,580.0,870.0,AdobeStock_320500758.jpeg
5,The image does not give itself all at once. Controlled revelation is the method. Tension is the evidence. 06,0.0,Full-Page/Large Illustration,assets/page_5_img_0_xref_26.png,115.0,0.0,695.0,630.0,580.0,326.0,AdobeStock_481046584.jpeg
6,"THE THREE PRESSURES AGENCY body as force CONSTRAINT body as protocol MEDIATION veil as edit Sight is never only an act of seeing. It is a negotiation between the body that appears, the culture that disciplines appearance, and the surface that decides what the eye is allowed to touch. This issue moves through agency, constraint, and mediation as one continuous pressure system: the anatomy of looking, traced from the body outward to the veil. 07",0.0,Full-Page/Large Illustration,assets/page_6_img_0_xref_29.png,115.0,242.28378295898438,695.0,575.007568359375,580.0,386.0,AdobeStock_493680640.jpeg
7,"ARTICLE I Agency The Body / presence before permission Agency is the body as its own first statement: a hand, an eye, a turned face that claims attention as pressure, before any rule arrives to explain it. 08",0.0,Full-Page/Large Illustration,assets/page_7_img_0_xref_32.png,115.0,0.0,695.0,630.0,580.0,386.0,alex-bracken-l1SJO7TMVEc-unsplash.jpg
