set,filename,theme,short_caption,caption
1,"A photograph of an attractive woman with a white lace blindfold, roses on her headband, long blonde hair, soft features.jpeg",opener,Beauty becomes the blindfold’s alibi.,"The flowers soften the restraint, but do not remove its force."
1,"Abstract Female Portrait Hidden Vision, Pink and Black.jpeg",dark,Color turns concealment into impact.,"The eye is erased in paint, and the mouth is left to carry the disturbance."
1,Abstract Monochrome Portrait of a Woman A Study in Light and Shadow.jpeg,dark,The image withholds recognition.,Shadow crosses the eyes like a verdict; the face continues speaking underneath.
1,AdobeStock_140076283.jpeg,gesture,Defense becomes gesture.,The hands do not fully hide her. They make the act of hiding visible.
1,AdobeStock_206067082.jpeg,false-eye,A false eye performs the feeling.,"She covers her sight, then paints another gaze over the absence."
1,AdobeStock_320500758.jpeg,lace,Lace turns vision into trespass.,The veil does not block the gaze; it makes looking feel forbidden.
1,AdobeStock_368079012.jpeg,nature,Nature becomes a mask.,"One eye meets us through the flower’s shadow, half invitation, half defense."
1,AdobeStock_378198491.jpeg,blue,Visibility dissolves into blue.,"The blue fabric does not conceal her completely; it makes her appear underwater, suspended between access and refusal."
1,AdobeStock_565582008.jpeg,fragment,Fragments still look back.,"The face breaks apart, but the eyes remain — watchful, multiplied, impossible to silence."
1,AdobeStock_720156988.jpeg,justice,Blindness becomes judgment.,"Here the covered eye becomes authority: justice imagined as blindness, balance, and restraint."
1,AdobeStock_730927617.jpeg,public,The gaze becomes a crowd.,"The repeated faces turn the gaze into public noise: many eyes, no single witness."
1,AdobeStock_973721353.jpeg,landscape,The mind becomes the landscape.,"Clouds and trees cross the face like a second memory, replacing sight with interior weather."
1,AdobeStock_987045868.jpeg,petal,Softness arrives as rupture.,"Petals scatter across the closed face, making surrender look theatrical and almost violent."
1,AdobeStock_1021442471.jpeg,smoke,Sight dissolves into breath.,The eyes vanish into smoke; the mouth opens as if breath has become the last evidence of self.
1,AdobeStock_1024472839.jpeg,glitch,"The gaze glitches, but remains.","The image fractures the face into signal and noise, leaving one eye to survive the interference."
2,AdobeStock_1040196803.jpeg,flowers,Beauty replaces sight.,The flowers bloom exactly where recognition should happen.
2,AdobeStock_1044937382.jpeg,severe,The eye is edited out.,The white stroke silences the gaze with surgical calm.
2,AdobeStock_1225023891.jpeg,flowers,Bloom as blindfold.,"Her face becomes a garden, but the flowers still perform the work of concealment."
2,AdobeStock_1462135790.jpeg,mask,Adornment becomes armor.,Gold catches the light while the face withdraws into shadow.
2,AdobeStock_1985396810.jpeg,butterfly,Fragility becomes refusal.,"The butterfly makes blindness look delicate, but its wings still deny access."
