current_photo_id,pdf_xref,pages,placement_count,current_original_name_candidate,needs_manual_name_review,worst_effective_dpi,required_px_for_300_w,required_px_for_300_h,shortfall_px_w,shortfall_px_h,pr6_print_300dpi_candidate_path,match_confidence,action,notes
PHOTO-001,16,01,1,maria-budanova-pristavskaya-dk8OHEIfT9o-unsplash (1).jpeg,no,136.9,3386,2625,1841,1427,images/print-300dpi/a01-raw-agency-maria-budanova-pristavskaya-dk8oheift9o-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug, corrected A01 raw-agency name."
PHOTO-002,25,"02, 41",2,a01-mediation-a-photograph-of-an-attractive-woman-with-a-white-lace-blindfold-roses-on.jpg,yes,136.0,3377,2635,1847,1441,,NO_EXACT_PR6_SOURCE_MATCH,select_replacement_source_before_relink,"Generated/local unknown-source image in current proof; replace by visual choice from PR6 or original source, then update back matter after approval."
PHOTO-006,88,"07, 18, 43",3,aris-rovas-jui9RSZdPVU-unsplash (1).jpg,no,115.0,3374,2625,2081,1619,images/print-300dpi/a41-mediation-aris-rovas-jui9rszdpvu-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug, corrected A41 mediation name."
PHOTO-007,102,08,1,daniel-apodaca-uriAVs6oi3Y-unsplash (2).jpg,no,184.3,2919,626,1126,242,images/print-300dpi/a59-mediation-daniela-podacauri-avs6oi3y-unsplash.jpg,MEDIUM_SLUG_MATCH_REVIEW,relink_after_visual_verification,"Likely same Unsplash ID but filename spelling differs in PR6; visually verify before relinking/back matter."
PHOTO-008,108,09,1,valentin-lacoste-8PafowRW8mE-unsplash.jpeg,no,136.9,3388,2625,1842,1427,images/print-300dpi/a58-mediation-valentin-lacoste-8pafowrw8me-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug, corrected A58 mediation name."
PHOTO-009,117,10,1,a18-social-constraint-adobestock-730927617.jpg,yes,211.0,1635,2173,485,645,,NO_EXACT_PR6_SOURCE_MATCH,select_replacement_source_before_relink,"Current failing Adobe Stock item was removed or reorganized in PR6; verify license and choose either licensed 300dpi source or PR6 visual replacement."
PHOTO-010,128,11,1,a24-raw-agency-amir-geshani-2jh8d3chnec-unsplash.jpg,yes,267.0,1344,2171,148,239,images/print-300dpi/a05-raw-agency-amir-geshani-2jh8d3chnec-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug but renumbered from A24 to A05; keep page placement ID stable until verified."
PHOTO-011,139,12,1,a24-raw-agency-amir-geshani-2jh8d3chnec-unsplash.jpg,yes,106.0,3375,2639,2183,1707,images/print-300dpi/a05-raw-agency-amir-geshani-2jh8d3chnec-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug but renumbered from A24 to A05; keep page placement ID stable until verified."
PHOTO-013,153,14,1,a30-raw-agency-brunxs-monochrome-spniqdcpi9u-unsplash.jpg,yes,136.9,3387,2625,1841,1427,images/print-300dpi/a07-raw-agency-brunxs-monochrome-spniqdcpi9u-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug but renumbered from A30 to A07."
PHOTO-015,161,16,1,a36-raw-agency-drew-dizzy-graham-ctkgzjtmjqu-unsplash.jpg,yes,112.9,3375,2626,2105,1638,images/print-300dpi/a09-raw-agency-drew-dizzy-graham-ctkgzjtmjqu-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug but renumbered from A36 to A09."
PHOTO-017,173,19,1,yadunandlal-XPnvhcUR-fs-unsplash.jpeg,no,165.1,1636,2172,736,977,images/print-300dpi/a19-raw-agency-yadu-nandlal-xpnvhcurfs-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug, corrected A19 raw-agency name."
PHOTO-019,183,21,1,valentin-lacoste-8PafowRW8mE-unsplash.jpeg,no,136.9,3386,2625,1841,1427,images/print-300dpi/a58-mediation-valentin-lacoste-8pafowrw8me-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug, corrected A58 mediation name."
PHOTO-021,191,23,1,a06-social-constraint-adobestock-1040196803.jpg,yes,136.9,3386,2625,1841,1427,,NO_EXACT_PR6_SOURCE_MATCH,select_replacement_source_before_relink,"Current failing Adobe Stock item was removed or reorganized in PR6; verify license and choose either licensed 300dpi source or PR6 visual replacement."
PHOTO-022,195,24,1,a07-social-constraint-adobestock-1044937382.jpg,yes,211.0,2922,1434,867,426,,NO_EXACT_PR6_SOURCE_MATCH,select_replacement_source_before_relink,"Current failing Adobe Stock item was removed or reorganized in PR6; verify license and choose either licensed 300dpi source or PR6 visual replacement."
PHOTO-023,199,25,1,a08-social-constraint-adobestock-1225023891.jpg,yes,97.0,3376,2624,2285,1776,,NO_EXACT_PR6_SOURCE_MATCH,select_replacement_source_before_relink,"Current failing Adobe Stock item was removed or reorganized in PR6; verify license and choose either licensed 300dpi source or PR6 visual replacement."
PHOTO-025,208,27,1,a10-social-constraint-adobestock-1462135790.jpg,yes,106.0,3375,2639,2183,1707,,NO_EXACT_PR6_SOURCE_MATCH,select_replacement_source_before_relink,"Current failing Adobe Stock item was removed or reorganized in PR6; verify license and choose either licensed 300dpi source or PR6 visual replacement."
PHOTO-026,212,"28, 31",2,a20-mediation-alex-bracken-l1sjo7tmvec-unsplash.jpg,yes,136.9,3386,2625,1841,1427,images/print-300dpi/a42-mediation-alex-bracken-l1sjo7tmvec-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug but renumbered from A20 to A42."
PHOTO-027,218,29,1,a01-mediation-a-photograph-of-an-attractive-woman-with-a-white-lace-blindfold-roses-on.jpg,yes,248.0,1636,2172,284,377,,NO_EXACT_PR6_SOURCE_MATCH,select_replacement_source_before_relink,"Generated/local unknown-source image in current proof; replace by visual choice from PR6 or original source, then update back matter after approval."
PHOTO-030,238,33,1,a26-mediation-arielle-allouche-h82rqe4gria-unsplash.jpg,yes,112.0,3373,2626,2114,1646,images/print-300dpi/a44-mediation-arielle-allouche-h82rqe4gria-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug but renumbered from A26 to A44."
PHOTO-032,247,35,1,a32-mediation-camila-quintero-franco-mc852jack1g-unsplash.jpg,yes,136.9,3386,2625,1841,1427,images/print-300dpi/a46-mediation-camila-quintero-franco-mc852jack1g-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug but renumbered from A32 to A46."
PHOTO-034,255,37,1,a38-mediation-elvis-kaiser-rqbk5ez6qa0-unsplash.jpg,yes,119.0,3374,2626,2036,1585,images/print-300dpi/a48-mediation-elvis-kaiser-rqbk5ez6qa0-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug but renumbered from A38 to A48."
PHOTO-036,264,39,1,a44-mediation-flaviu-costin-vr-sbbcwklc-unsplash.jpg,yes,120.0,3376,2636,2026,1582,images/print-300dpi/a50-mediation-flaviu-costin-vr-sbbcwklc-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug but renumbered from A44 to A50."
PHOTO-037,269,40,1,aris-rovas-jui9RSZdPVU-unsplash (1).jpg,no,106.0,3375,2639,2183,1707,images/print-300dpi/a41-mediation-aris-rovas-jui9rszdpvu-unsplash.jpg,HIGH_ID_MATCH,relink_after_visual_verification,"PR6 print route has same creator/slug, corrected A41 mediation name."
PHOTO-038,282,42,1,daniel-apodaca-uriAVs6oi3Y-unsplash (2).jpg,no,165.1,1520,2172,684,977,images/print-300dpi/a59-mediation-daniela-podacauri-avs6oi3y-unsplash.jpg,MEDIUM_SLUG_MATCH_REVIEW,relink_after_visual_verification,"Likely same Unsplash ID but filename spelling differs in PR6; visually verify before relinking/back matter."
PHOTO-040,296,45,1,daniel-apodaca-uriAVs6oi3Y-unsplash (2).jpg,no,160.0,3375,2637,1575,1231,images/print-300dpi/a59-mediation-daniela-podacauri-avs6oi3y-unsplash.jpg,MEDIUM_SLUG_MATCH_REVIEW,relink_after_visual_verification,"Likely same Unsplash ID but filename spelling differs in PR6; visually verify before relinking/back matter."
PHOTO-041,300,46,1,jan-kopriva-n3BtiYgu5NI-unsplash (1).jpeg,no,251.0,2923,1434,478,235,images/print-300dpi/a02-raw-agency-janko-priva-n3btiygu5ni-unsplash.jpg,MEDIUM_SLUG_MATCH_REVIEW,relink_after_visual_verification,"Likely same Unsplash ID; filename spelling differs from Jan Kopriva/Janko Priva. Visually verify before relinking."
